Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2010,CT,Connecticut,Demographics,Employment,What is your employment status?,Student,65+,Age Group,2,0.1,0.0,0.3,1578,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,9,AGE09,CAT3,EMPLOY,RESP030,"(41.56266102, -72.649840952)"
1999,MI,Michigan,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,60-64,Age Group,9,8.1,2.6,13.6,1656,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,26,AGE08,CAT3,_RFMAM2Y,RESP054,"(44.661319543001, -84.71439027)"
1997,UT,Utah,Health Status,Overall Health,How is your general health?,Very good,45-54,Age Group,174,39.0,32.7,45.3,25,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,49,AGE04,CAT3,GENHLTH,RESP057,"(39.360700171, -111.587130635)"
2008,SD,South Dakota,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,Overall,Overall,6093,91.1,90.2,92.0,299,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,46,BO1,CAT1,DIABETE2,RESP054,"(44.353130053, -100.373530637)"
1999,NM,New Mexico,Women's Health,Pap Test,Women aged 18+ who have had a pap smear within the past three years (variable calculated from one or more BRFSS questions),Yes,Some post-H.S.,Education Attained,363,85.2,81.4,89.0,1748,%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,35,EDUCA3,CAT5,_RFPAP3Y,RESP046,"(34.520880952, -106.240580985)"
1997,MN,Minnesota,Health Status,Overall Health,How is your general health?,Poor,65+,Age Group,68,7.4,5.6,9.2,45,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,27,AGE09,CAT3,GENHLTH,RESP060,"(46.355648736, -94.794200503)"
2005,IA,Iowa,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,Less than H.S.,Education Attained,200,46.5,40.3,52.7,284,%,Crude Prevalence,,,BRFSS,CLASS15,Topic23,19,EDUCA1,CAT5,_TOTINDA,RESP054,"(42.469400913, -93.816490556)"
1995,AK,Alaska,Demographics,Income,What is your annual household income?,"$15,000 - 24,999",35-44,Age Group,50,12.0,7.0,17.0,1491,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,2,AGE03,CAT3,INCOME,RESP017,"(64.845079957001, -147.722059036)"
2005,MO,Missouri,Demographics,Education,What is the highest grade or year of school you completed?,College+,Overall,Overall,1279,27.1,25.2,29.0,1515,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,29,BO1,CAT1,EDUCA,RESP024,"(38.635790776, -92.566300053)"
1997,IN,Indiana,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,45-54,Age Group,377,88.9,85.0,92.8,460,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,18,AGE04,CAT3,DIABETES,RESP054,"(39.766910452, -86.149960194)"
2007,ID,Idaho,Demographics,Income,What is your annual household income?,"$15,000 - 24,999",Overall,Overall,852,16.9,15.3,18.5,1552,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,16,BO1,CAT1,INCOME,RESP017,"(43.682630005, -114.363730042)"
2001,AK,Alaska,Demographics,Income,What is your annual household income?,"$50,000+",25-34,Age Group,159,37.3,30.3,44.3,1832,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,2,AGE02,CAT3,INCOME,RESP020,"(64.845079957001, -147.722059036)"
1995,MN,Minnesota,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,"White, non-Hispanic",Race/Ethnicity,452,12.8,11.6,14.0,1166,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,27,RACE1,CAT4,_CHLDCNT,RESP094,"(46.355648736, -94.794200503)"
1995,GA,Georgia,Demographics,Race,What is your race/ethnicity?,Hispanic,Hispanic,Race/Ethnicity,55,100.0,100.0,100.0,833,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,13,RACE3,CAT4,RACE,RESP007,"(32.839681093, -83.627580346)"
2007,MN,Minnesota,Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),No,"$50,000+",Household Income,1754,83.3,81.5,85.1,426,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,27,INCOME5,CAT6,_RFHYPE5,RESP054,"(46.355648736, -94.794200503)"
2001,OH,Ohio,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"$35,000-$49,999",Household Income,25,,,,820,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS11,Topic46,39,INCOME4,CAT6,_PNEUMOC,RESP046,"(40.060210141, -82.404260056)"
1999,OR,Oregon,Demographics,Employment,What is your employment status?,Student,"$35,000-$49,999",Household Income,6,3.0,0.1,5.9,1422,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,41,INCOME4,CAT6,EMPLOY,RESP030,"(44.567449424, -120.155031326)"
2007,NC,North Carolina,Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Not Checked in past 5 years,45-54,Age Group,108,3.6,2.8,4.4,499,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,37,AGE04,CAT3,_CHOLCHK,RESP073,"(35.466220975, -79.159250463)"
2009,CT,Connecticut,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",Overall,Overall,46,0.7,0.5,1.0,299,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,9,BO1,CAT1,DIABETE2,RESP051,"(41.56266102, -72.649840952)"
2001,KS,Kansas,Hypertension Awareness,High Blood Pressure,Adults who have been told they have high blood pressure (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,435,49.3,45.7,52.9,376,%,Crude Prevalence,,,BRFSS,CLASS10,Topic31,20,AGE09,CAT3,_RFHYPE3,RESP046,"(38.3477403, -98.200781227)"
2001,NY,New York,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Hispanic,Race/Ethnicity,284,60.0,54.1,65.9,224,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,36,RACE3,CAT4,_HCVU65,RESP046,"(42.827001032, -75.543970427)"
2002,ND,North Dakota,Demographics,Employment,What is your employment status?,Self emplyd,"$25,000-$34,999",Household Income,50,10.9,7.8,14.0,1649,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,38,INCOME3,CAT6,EMPLOY,RESP026,"(47.475319779, -100.118421049)"
2004,IN,Indiana,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,4380,66.6,65.3,67.9,840,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,18,BO1,CAT1,_DENTVST,RESP046,"(39.766910452, -86.149960194)"
2006,AK,Alaska,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,Overall,Overall,153,8.7,7.0,10.4,1084,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,2,BO1,CAT1,_CHLDCNT,RESP092,"(64.845079957001, -147.722059036)"
2001,OK,Oklahoma,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,College graduate,Education Attained,891,91.6,89.5,93.7,607,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,40,EDUCA4,CAT5,_LTASTHM,RESP054,"(35.472031356, -97.521070214)"
1999,NY,New York,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,"Other, non-Hispanic",Race/Ethnicity,7,6.5,1.4,11.6,468,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,36,RACE4,CAT4,DIABETES,RESP046,"(42.827001032, -75.543970427)"
1996,AR,Arkansas,Demographics,Marital Status,What is your marital status?,Divorced,"Less than $15,000",Household Income,45,12.9,8.8,17.0,828,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,5,INCOME1,CAT6,MARITAL,RESP034,"(34.748650124, -92.274490743)"
2003,AK,Alaska,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,"Black, non-Hispanic",Race/Ethnicity,11,,,,1578,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic21,2,RACE2,CAT4,EDUCA,RESP023,"(64.845079957001, -147.722059036)"
1995,SC,South Carolina,Demographics,Education,What is the highest grade or year of school you completed?,College+,45-54,Age Group,96,28.2,22.4,34.0,1252,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,45,AGE04,CAT3,EDUCA,RESP024,"(33.998821303, -81.045371207)"
2000,PA,Pennsylvania,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,55-64,Age Group,86,18.0,14.1,21.9,537,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,42,AGE05,CAT3,_SMOKER2,RESP068,"(40.793730152, -77.860700294)"
2004,SC,South Carolina,Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"Less than $15,000",Household Income,704,84.4,81.1,87.7,750,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,45,INCOME1,CAT6,_CASTHMA,RESP054,"(33.998821303, -81.045371207)"
2003,WA,Washington,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,25-34,Age Group,53,1.9,1.3,2.5,307,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,53,AGE02,CAT3,DIABETES,RESP046,"(47.522278629, -120.47001079)"
2010,OK,Oklahoma,Demographics,Employment,What is your employment status?,No work< yr,"$35,000-$49,999",Household Income,25,3.3,1.7,4.9,1694,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,40,INCOME4,CAT6,EMPLOY,RESP027,"(35.472031356, -97.521070214)"
2005,DC,District of Columbia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,"Black, non-Hispanic",Race/Ethnicity,1471,95.9,94.8,97.0,2317,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,11,RACE2,CAT4,CVDCRHD3,RESP054,"(38.890371385, -77.031961127)"
1995,WV,West Virginia,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,Female,Gender,217,15.9,13.7,18.1,1104,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,54,SEX2,CAT2,_CHLDCNT,RESP094,"(38.665510202, -80.712640135)"
2003,KS,Kansas,Demographics,Race,What is your race/ethnicity?,Black,25-34,Age Group,31,4.0,2.5,5.5,1085,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,20,AGE02,CAT3,RACE,RESP006,"(38.3477403, -98.200781227)"
2003,KY,Kentucky,Demographics,Age,What is your age?,35-44 years,"$25,000-$34,999",Household Income,169,21.1,16.8,25.4,1243,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,21,INCOME3,CAT6,AGE,RESP012,"(37.645970271, -84.774971048)"
1999,HI,Hawaii,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,Less than H.S.,Education Attained,84,,,,1816,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS04,Topic08,15,EDUCA1,CAT5,_RFBLDST,RESP054,"(21.304850435, -157.857749403)"
2010,SC,South Carolina,Demographics,Age,What is your age?,45-54 years,College graduate,Education Attained,485,19.1,16.8,21.4,1140,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,45,EDUCA4,CAT5,AGE,RESP013,"(33.998821303, -81.045371207)"
1999,WY,Wyoming,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,65+,Age Group,294,75.2,70.7,79.7,121,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,56,AGE09,CAT3,_RFHLTH,RESP061,"(43.235541343, -108.109830353)"
2001,NV,Nevada,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Female,Gender,84,5.6,3.8,7.4,1016,%,Crude Prevalence,,,BRFSS,CLASS01,Topic30,32,SEX2,CAT2,_RFDRHVY,RESP046,"(39.49324039, -117.071840564)"
1997,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,"Other, non-Hispanic",Race/Ethnicity,7,,,,222,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS07,Topic59,1,RACE4,CAT4,_HCVU65,RESP054,"(32.840571122, -86.631860762)"
2004,NM,New Mexico,Demographics,Education,What is the highest grade or year of school you completed?,Some post-H.S.,45-54,Age Group,359,25.4,22.6,28.2,1464,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,35,AGE04,CAT3,EDUCA,RESP023,"(34.520880952, -106.240580985)"
1996,DE,Delaware,Demographics,Employment,What is your employment status?,No work< yr,"Less than $15,000",Household Income,11,5.3,2.1,8.5,1206,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,10,INCOME1,CAT6,EMPLOY,RESP027,"(39.008830667, -75.577741168)"
2003,IN,Indiana,Demographics,Employment,What is your employment status?,No work< yr,25-34,Age Group,41,5.3,3.6,7.0,1660,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,18,AGE02,CAT3,EMPLOY,RESP027,"(39.766910452, -86.149960194)"
2004,NM,New Mexico,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,Some post-H.S.,Education Attained,243,30.0,26.2,33.8,2092,%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,35,EDUCA3,CAT5,_RFBLDST,RESP046,"(34.520880952, -106.240580985)"
2004,KS,Kansas,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,"Less than $15,000",Household Income,88,38.8,32.0,45.6,918,%,Crude Prevalence,,,BRFSS,CLASS11,Topic26,20,INCOME1,CAT6,_FLSHOT2,RESP054,"(38.3477403, -98.200781227)"
2005,OK,Oklahoma,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",Female,Gender,1071,13.6,12.4,14.8,1791,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,40,SEX2,CAT2,INCOME,RESP018,"(35.472031356, -97.521070214)"
2000,LA,Louisiana,Demographics,Income,What is your annual household income?,"$25,000 - 34,999","Black, non-Hispanic",Race/Ethnicity,210,17.8,15.2,20.4,1356,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,22,RACE2,CAT4,INCOME,RESP018,"(31.312660644, -92.445680071)"
2000,CO,Colorado,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,25-34,Age Group,55,9.1,6.0,12.2,399,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,8,AGE02,CAT3,_LTASTHM,RESP046,"(38.843840757, -106.133610921)"
2008,NV,Nevada,Demographics,Disability status,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"White, non-Hispanic",Race/Ethnicity,2578,76.6,74.4,78.7,769,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,32,RACE1,CAT4,QLACTLM2,RESP054,"(39.49324039, -117.071840564)"
2006,WV,West Virginia,Health Status,Overall Health,How is your general health?,Excellent,18-24,Age Group,23,15.1,8.9,21.3,16,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,54,AGE01,CAT3,GENHLTH,RESP056,"(38.665510202, -80.712640135)"
2001,MS,Mississippi,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,"Less than $15,000",Household Income,97,19.6,15.1,24.1,902,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,28,INCOME1,CAT6,_SMOKER2,RESP068,"(32.745510099, -89.538030825)"
2006,PA,Pennsylvania,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",Less than H.S.,Education Attained,9,0.2,0.0,0.5,357,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,42,EDUCA1,CAT5,DIABETE2,RESP051,"(40.793730152, -77.860700294)"
2008,GA,Georgia,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,Male,Gender,1721,89.4,87.7,91.1,305,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,13,SEX1,CAT2,DIABETE2,RESP054,"(32.839681093, -83.627580346)"
2008,MI,Michigan,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Female,Gender,379,4.2,3.7,4.7,567,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,26,SEX2,CAT2,CVDCRHD4,RESP046,"(44.661319543001, -84.71439027)"
1999,KS,Kansas,Demographics,Education,What is the highest grade or year of school you completed?,Less than H.S.,55-64,Age Group,53,11.0,7.9,14.1,1217,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,20,AGE05,CAT3,EDUCA,RESP021,"(38.3477403, -98.200781227)"
2010,NV,Nevada,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,60-64,Age Group,59,23.5,15.9,31.0,2182,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,32,AGE08,CAT3,_MAM502Y,RESP054,"(39.49324039, -117.071840564)"
2002,ME,Maine,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,Female,Gender,9,0.5,0.1,0.9,1312,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,23,SEX2,CAT2,_CHLDCNT,RESP090,"(45.254228894001, -68.985031336)"
2004,VI,Virgin Islands,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,55-64,Age Group,76,13.5,10.3,16.7,414,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,78,AGE05,CAT3,_SMOKER2,RESP070,"(18.335765, -64.896335)"
2006,ME,Maine,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,College graduate,Education Attained,68,14.8,11.2,18.4,1940,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,23,EDUCA4,CAT5,_MAM502Y,RESP054,"(45.254228894001, -68.985031336)"
1996,NM,New Mexico,Physical Activity,Physical Activity,Adults with 30+ minutes of any physical activity five or more days per week (variable calculated from one or more BRFSS questions),Yes,"White, non-Hispanic",Race/Ethnicity,167,25.3,21.4,29.2,363,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,35,RACE1,CAT4,_RFREGUL,RESP046,"(34.520880952, -106.240580985)"
2009,WI,Wisconsin,Demographics,Income,What is your annual household income?,"Less than $15,000","Black, non-Hispanic",Race/Ethnicity,25,8.5,3.6,13.4,1735,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,55,RACE2,CAT4,INCOME,RESP016,"(44.393191174, -89.816370742)"
2004,CA,California,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,50-59,Age Group,650,84.6,81.5,87.7,2077,%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,6,AGE07,CAT3,_RFBLDST,RESP054,"(37.638640123, -120.999999538)"
1995,ND,North Dakota,Health Status,Overall Health,How is your general health?,Fair,"$15,000-$24,999",Household Income,55,12.3,8.9,15.7,100,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,38,INCOME2,CAT6,GENHLTH,RESP059,"(47.475319779, -100.118421049)"
1998,MI,Michigan,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"Less than $15,000",Household Income,53,24.1,17.3,30.9,1449,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,26,INCOME1,CAT6,_BMI2CAT,RESP039,"(44.661319543001, -84.71439027)"
2000,SC,South Carolina,Demographics,Employment,What is your employment status?,No work< yr,"$50,000+",Household Income,7,1.0,0.2,1.8,1277,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,45,INCOME5,CAT6,EMPLOY,RESP027,"(33.998821303, -81.045371207)"
2006,UT,Utah,Demographics,Race,What is your race/ethnicity?,White,18-24,Age Group,224,81.3,75.8,86.8,755,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,49,AGE01,CAT3,RACE,RESP005,"(39.360700171, -111.587130635)"
2004,DC,District of Columbia,Demographics,Marital Status,What is your marital status?,Never married,"White, non-Hispanic",Race/Ethnicity,551,39.9,36.7,43.1,1234,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,11,RACE1,CAT4,MARITAL,RESP037,"(38.890371385, -77.031961127)"
2007,LA,Louisiana,Demographics,Marital Status,What is your marital status?,Married,"Other, non-Hispanic",Race/Ethnicity,123,,,,1083,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic38,22,RACE4,CAT4,MARITAL,RESP033,"(31.312660644, -92.445680071)"
1998,CT,Connecticut,Women's Health,Pap Test,Women aged 18+ who have had a pap smear within the past three years (variable calculated from one or more BRFSS questions),Yes,18-24,Age Group,110,84.6,77.1,92.1,1531,%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,9,AGE01,CAT3,_RFPAP3Y,RESP046,"(41.56266102, -72.649840952)"
2002,KY,Kentucky,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,50-59,Age Group,221,58.5,52.1,64.9,2052,%,Crude Prevalence,,,BRFSS,CLASS16,Topic47,21,AGE07,CAT3,_RFPSA2Y,RESP046,"(37.645970271, -84.774971048)"
1999,MN,Minnesota,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,Less than H.S.,Education Attained,99,26.5,21.7,31.3,608,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,27,EDUCA1,CAT5,_SMOKER2,RESP070,"(46.355648736, -94.794200503)"
2004,MA,Massachusetts,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"$25,000-$34,999",Household Income,245,83.2,77.8,88.6,1938,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,25,INCOME3,CAT6,_RFMAM2Y,RESP046,"(42.27687047, -72.082690675)"
1997,NC,North Carolina,Health Status,Overall Health,How is your general health?,Poor,"$15,000-$24,999",Household Income,55,6.9,5.0,8.8,106,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,37,INCOME2,CAT6,GENHLTH,RESP060,"(35.466220975, -79.159250463)"
2009,AR,Arkansas,Health Status,Overall Health,How is your general health?,Very good,"$25,000-$34,999",Household Income,132,34.0,27.4,40.6,98,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,5,INCOME3,CAT6,GENHLTH,RESP057,"(34.748650124, -92.274490743)"
1996,AK,Alaska,Demographics,Marital Status,What is your marital status?,Separated,Female,Gender,20,1.8,0.8,2.8,750,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,2,SEX2,CAT2,MARITAL,RESP036,"(64.845079957001, -147.722059036)"
